,ibns_20u,vgs_m1,name,type,time,OK
0,20.52548,0.6859557,tran_SchGtKttmmTtVt_29,Sch,Tue Jan 21 13:11:27 2025,True
1,18.91464,0.6818258,tran_SchGtKttmmTtVt_28,Sch,Tue Jan 21 13:11:27 2025,True
2,22.38956,0.69133,tran_SchGtKttmmTtVt_27,Sch,Tue Jan 21 13:11:27 2025,True
3,20.08091,0.6829226,tran_SchGtKttmmTtVt_26,Sch,Tue Jan 21 13:11:27 2025,True
4,20.458560000000002,0.6857775,tran_SchGtKttmmTtVt_25,Sch,Tue Jan 21 13:11:27 2025,True
5,19.013279999999998,0.6791333,tran_SchGtKttmmTtVt_24,Sch,Tue Jan 21 13:11:26 2025,True
6,20.75129,0.6877423,tran_SchGtKttmmTtVt_23,Sch,Tue Jan 21 13:11:26 2025,True
7,20.83057,0.6852367,tran_SchGtKttmmTtVt_22,Sch,Tue Jan 21 13:11:26 2025,True
8,21.783440000000002,0.6900361,tran_SchGtKttmmTtVt_21,Sch,Tue Jan 21 13:11:26 2025,True
9,19.66479,0.6826233,tran_SchGtKttmmTtVt_20,Sch,Tue Jan 21 13:11:26 2025,True
10,20.22713,0.6842391,tran_SchGtKttmmTtVt_19,Sch,Tue Jan 21 13:11:26 2025,True
11,20.85089,0.6872978,tran_SchGtKttmmTtVt_18,Sch,Tue Jan 21 13:11:26 2025,True
12,19.66842,0.6836845,tran_SchGtKttmmTtVt_17,Sch,Tue Jan 21 13:11:25 2025,True
13,22.453780000000002,0.6902796,tran_SchGtKttmmTtVt_16,Sch,Tue Jan 21 13:11:25 2025,True
14,22.03992,0.6903143,tran_SchGtKttmmTtVt_15,Sch,Tue Jan 21 13:11:25 2025,True
15,21.740389999999998,0.6889724,tran_SchGtKttmmTtVt_14,Sch,Tue Jan 21 13:11:25 2025,True
16,19.99397,0.6826657,tran_SchGtKttmmTtVt_13,Sch,Tue Jan 21 13:11:25 2025,True
17,20.506500000000003,0.6866569,tran_SchGtKttmmTtVt_12,Sch,Tue Jan 21 13:11:25 2025,True
18,20.91363,0.6863642,tran_SchGtKttmmTtVt_11,Sch,Tue Jan 21 13:11:25 2025,True
19,19.78013,0.6838264,tran_SchGtKttmmTtVt_10,Sch,Tue Jan 21 13:11:25 2025,True
20,19.451400000000003,0.6837987,tran_SchGtKttmmTtVt_9,Sch,Tue Jan 21 13:11:24 2025,True
21,20.96543,0.6860364,tran_SchGtKttmmTtVt_8,Sch,Tue Jan 21 13:11:24 2025,True
22,22.74167,0.6895786,tran_SchGtKttmmTtVt_7,Sch,Tue Jan 21 13:11:24 2025,True
23,19.9142,0.6855508,tran_SchGtKttmmTtVt_6,Sch,Tue Jan 21 13:11:24 2025,True
24,20.2254,0.684713,tran_SchGtKttmmTtVt_5,Sch,Tue Jan 21 13:11:24 2025,True
25,17.985789999999998,0.6800988,tran_SchGtKttmmTtVt_4,Sch,Tue Jan 21 13:11:24 2025,True
26,21.12023,0.687823,tran_SchGtKttmmTtVt_3,Sch,Tue Jan 21 13:11:24 2025,True
27,20.02099,0.6848127,tran_SchGtKttmmTtVt_2,Sch,Tue Jan 21 13:11:24 2025,True
28,19.51037,0.6843736,tran_SchGtKttmmTtVt_1,Sch,Tue Jan 21 13:11:23 2025,True
29,20.122349999999997,0.685359,tran_SchGtKttmmTtVt,Sch,Tue Jan 21 13:11:23 2025,True
